iter	Passed	Remaining
644	14423	7938
645	14445	7915
646	14478	7899
647	14510	7882
648	14535	7861
649	14556	7838
650	14578	7815
651	14599	7792
652	14619	7768
653	14639	7745
654	14647	7715
655	14667	7691
656	14703	7676
657	14718	7650
658	14750	7632
659	14770	7609
660	14793	7587
661	14821	7567
662	14839	7542
663	14871	7525
664	14901	7506
665	14938	7491
666	14968	7473
667	14995	7452
668	15021	7432
669	15043	7409
670	15062	7385
671	15080	7360
672	15099	7336
673	15120	7313
674	15163	7300
675	15185	7278
676	15199	7251
677	15219	7228
678	15236	7203
679	15258	7180
680	15278	7156
681	15298	7133
682	15320	7110
683	15340	7087
684	15360	7063
685	15381	7040
686	15391	7012
687	15411	6989
688	15429	6964
689	15456	6944
690	15484	6924
691	15494	6896
692	15501	6867
693	15522	6844
694	15542	6820
695	15558	6795
696	15589	6776
697	15602	6750
698	15623	6727
699	15637	6701
700	15664	6681
701	15671	6652
702	15693	6630
703	15704	6603
704	15723	6579
705	15745	6557
706	15766	6534
707	15787	6511
708	15794	6482
709	15815	6459
710	15851	6443
711	15884	6425
712	15906	6402
713	15926	6379
714	15947	6356
715	15966	6333
716	15987	6310
717	16010	6288
718	16034	6266
719	16070	6249
720	16098	6229
721	16116	6205
722	16146	6186
723	16191	6172
724	16222	6153
725	16245	6131
726	16294	6118
727	16302	6091
728	16323	6067
729	16343	6044
730	16364	6021
731	16383	5998
732	16405	5975
733	16435	5956
734	16462	5935
735	16489	5914
736	16510	5891
737	16533	5869
738	16543	5842
739	16566	5820
740	16586	5797
741	16607	5774
742	16628	5751
743	16649	5728
744	16682	5710
745	16709	5689
746	16730	5666
747	16744	5641
748	16765	5618
749	16785	5595
750	16805	5572
751	16844	5554
752	16881	5537
753	16888	5510
754	16917	5489
755	16942	5468
756	16967	5446
757	16981	5421
758	17003	5398
759	17027	5376
760	17047	5354
761	17069	5331
762	17108	5314
763	17135	5293
764	17155	5270
765	17177	5247
766	17209	5227
767	17233	5205
768	17253	5182
769	17275	5160
770	17296	5137
771	17316	5114
772	17337	5091
773	17359	5068
774	17381	5046
775	17391	5020
776	17398	4993
777	17418	4970
778	17439	4947
779	17446	4920
780	17466	4897
781	17474	4871
782	17517	4854
783	17540	4832
784	17565	4810
785	17579	4786
786	17599	4763
787	17620	4740
788	17639	4717
789	17676	4698
790	17697	4676
791	17717	4653
792	17737	4630
793	17762	4608
794	17783	4585
795	17803	4562
796	17824	4539
797	17845	4517
798	17855	4491
799	17875	4468
800	17896	4446
801	17916	4423
802	17937	4400
803	17959	4378
804	17980	4355
805	18000	4332
806	18021	4310
807	18036	4285
808	18058	4263
809	18078	4240
810	18097	4217
811	18104	4191
812	18110	4165
813	18130	4142
814	18152	4120
815	18173	4097
816	18193	4075
817	18206	4050
818	18257	4035
819	18278	4012
820	18300	3990
821	18321	3967
822	18341	3944
823	18362	3922
824	18382	3899
825	18402	3876
826	18419	3853
827	18440	3830
828	18464	3808
829	18489	3786
830	18509	3764
831	18531	3741
832	18541	3717
833	18564	3695
834	18589	3673
835	18615	3651
836	18636	3629
837	18661	3607
838	18690	3586
839	18726	3567
840	18754	3545
841	18775	3523
842	18783	3498
843	18808	3476
844	18829	3453
845	18858	3432
846	18887	3411
847	18919	3391
848	18941	3368
849	18962	3346
850	18970	3321
851	19000	3300
852	19022	3278
853	19055	3257
854	19076	3235
855	19101	3213
856	19132	3192
857	19152	3169
858	19173	3147
859	19186	3123
860	19206	3100
861	19227	3078
862	19247	3055
863	19289	3036
864	19302	3012
865	19327	2990
866	19351	2968
867	19372	2946
868	19409	2925
869	19424	2902
870	19444	2879
871	19465	2857
872	19485	2834
873	19507	2812
874	19527	2789
875	19547	2767
876	19568	2744
877	19590	2722
878	19611	2699
879	19655	2680
880	19685	2659
881	19710	2636
882	19751	2617
883	19786	2596
884	19806	2573
885	19828	2551
886	19841	2527
887	19861	2505
888	19886	2483
889	19908	2460
890	19929	2438
891	19949	2415
892	19969	2392
893	19989	2370
894	20014	2348
895	20034	2325
896	20055	2302
897	20078	2280
898	20100	2258
899	20123	2235
900	20145	2213
901	20166	2190
902	20186	2168
903	20209	2146
904	20232	2123
905	20256	2101
906	20301	2081
907	20323	2059
908	20331	2035
909	20351	2012
910	20372	1990
911	20394	1967
912	20415	1945
913	20428	1922
914	20449	1899
915	20470	1877
916	20491	1854
917	20513	1832
918	20534	1809
919	20555	1787
920	20576	1764
921	20586	1741
922	20606	1719
923	20626	1696
924	20647	1674
925	20668	1651
926	20692	1629
927	20719	1607
928	20745	1585
929	20772	1563
930	20792	1540
931	20813	1518
932	20833	1496
933	20854	1473
934	20875	1451
935	20901	1429
936	20925	1406
937	20949	1384
938	20973	1362
939	20995	1340
940	21015	1317
941	21033	1295
942	21051	1272
943	21073	1250
944	21113	1228
945	21145	1207
946	21166	1184
947	21188	1162
948	21209	1139
949	21229	1117
950	21265	1095
951	21303	1074
952	21387	1054
953	21409	1032
954	21429	1009
955	21470	988
956	21499	966
957	21519	943
958	21541	920
959	21561	898
960	21602	876
961	21624	854
962	21646	831
963	21654	808
964	21684	786
965	21710	764
966	21738	741
967	21759	719
968	21779	696
969	21800	674
970	21846	652
971	21876	630
972	21898	607
973	21920	585
974	21941	562
975	21964	540
976	21976	517
977	22009	495
978	22030	472
979	22051	450
980	22084	427
981	22105	405
982	22133	382
983	22154	360
984	22174	337
985	22197	315
986	22217	292
987	22237	270
988	22262	247
989	22283	225
990	22304	202
991	22325	180
992	22356	157
993	22424	135
994	22448	112
995	22471	90
996	22496	67
997	22517	45
998	22542	22
999	22563	0
